USER           PID  PPID        VSZ    RSS WCHAN            ADDR S NAME                       
root           309     2          0      0 0                   0 I [kdmflush]
root           310     2          0      0 0                   0 I [kveritydX]
root           311     2          0      0 0                   0 I [kdmflush]
root           312     2          0      0 0                   0 I [kveritydX]
root           313     2          0      0 0                   0 I [kdmflush]
root           314     2          0      0 0                   0 I [kveritydX]
root           315     2          0      0 0                   0 I [kdmflush]
root           316     2          0      0 0                   0 I [kveritydX]
root           317     2          0      0 0                   0 I [kdmflush]
root           318     2          0      0 0                   0 I [kveritydX]
root           319     2          0      0 0                   0 I [kdmflush]
root           320     2          0      0 0                   0 I [kveritydX]
root           321     2          0      0 0                   0 I [kdmflush]
root           322     2          0      0 0                   0 I [kveritydX]
root           323     2          0      0 0                   0 I [kdmflush]
root           324     2          0      0 0                   0 I [kveritydX]
root           325     2          0      0 0                   0 I [kworker/u17:1-hal_register_write_wq]
root           327     1    2305120   6140 0                   0 S init
root           328     1    2202016   7320 0                   0 S ueventd
root           339     2          0      0 0                   0 I [kdmflush]
root           340     2          0      0 0                   0 I [kdmflush]
root           341     2          0      0 0                   0 I [kdmflush]
root           342     2          0      0 0                   0 I [kdmflush]
root           343     2          0      0 0                   0 I [kdmflush]
root           344     2          0      0 0                   0 I [kdmflush]
root           345     2          0      0 0                   0 I [kdmflush]
root           346     2          0      0 0                   0 I [kdmflush]
root           348     2          0      0 0                   0 I [kdmflush]
root           349     2          0      0 0                   0 I [kdmflush]
root           350     2          0      0 0                   0 I [kdmflush]
root           351     2          0      0 0                   0 I [kdmflush]
root           352     2          0      0 0                   0 I [kdmflush]
root           353     2          0      0 0                   0 I [kdmflush]
root           354     2          0      0 0                   0 I [kdmflush]
root           355     2          0      0 0                   0 I [kdmflush]
root           356     2          0      0 0                   0 I [kdmflush]
root           358     2          0      0 0                   0 I [kdmflush]
root           359     2          0      0 0                   0 I [kdmflush]
root           361     2          0      0 0                   0 I [kdmflush]
root           364     2          0      0 0                   0 I [kdmflush]
root           365     2          0      0 0                   0 I [kdmflush]
root           370     2          0      0 0                   0 I [kdmflush]
root           372     2          0      0 0                   0 I [kdmflush]
root           379     2          0      0 0                   0 I [ext4-rsv-conver]
root           380     2          0      0 0                   0 I [ext4-rsv-conver]
root           381     2          0      0 0                   0 I [ext4-rsv-conver]
root           382     2          0      0 0                   0 I [ext4-rsv-conver]
root           383     2          0      0 0                   0 I [ext4-rsv-conver]
prng_seeder    388     1    2163616   5264 0                   0 S prng_seeder
root           413     2          0      0 0                   0 I [kworker/0:1H-kblockd]
root           506     2          0      0 0                   0 I [mpcie_wq]
root           554     2          0      0 0                   0 I [kworker/3:2-events]
root           555     2          0      0 0                   0 I [pmic_glink_rx]
root           560     2          0      0 0                   0 I [pdr_notifier_wq]
root           561     2          0      0 0                   0 I [kworker/1:2-events]
root           562     2          0      0 0                   0 S [irq/48-arm-smmu-context-fault]
root           563     2          0      0 0                   0 S [ux_page_pool_fillthread]
root           583     2          0      0 0                   0 I [rq_stats]
root           584     2          0      0 0                   0 I [bsp_kevent_wq]
root           585     2          0      0 0                   0 I [kworker/X18:4-kveritydX]
root           586     2          0      0 0                   0 S [msm_perf:events_notify]
root           587     2          0      0 0                   0 S [adspsleepmon-worker]
root           588     2          0      0 0                   0 S [kshrink_lruvecd]
root           589     2          0      0 0                   0 S [fb_flush]
root           590     2          0      0 0                   0 S [sensor_feedback_task]
root           595     2          0      0 0                   0 S [irq/49-arm-smmu-context-fault]
